Time (sec);Rocks;Papers;Scissors
0;15;15;15
1;15;15;15
2;12;16;17
3;16;16;13
4;15;18;12
5;16;17;12
6;13;20;12
7;13;19;13
8;11;21;13
9;11;19;15
10;10;19;16
11;10;13;22
12;11;13;21
13;10;13;22
14;10;11;24
15;10;12;23
16;10;12;23
17;11;12;22
18;12;12;21
19;12;11;22
20;12;10;23
21;13;9;23
22;13;8;24
23;16;7;22
24;18;7;20
25;18;7;20
26;18;7;20
27;21;6;18
28;23;5;17
29;24;4;17
30;27;4;14
31;27;3;15
32;28;3;14
33;28;3;14
34;29;3;13
35;30;3;12
36;31;3;11
37;33;3;9
38;35;3;7
39;35;3;7
40;35;3;7
41;35;3;7
42;35;3;7
43;35;3;7
44;36;3;6
45;36;3;6
46;36;3;6
47;35;5;5
48;36;5;4
49;36;6;3
50;34;8;3
51;33;9;3
52;31;11;3
53;28;14;3
54;28;14;3
55;28;14;3
56;29;14;2
57;29;15;1
58;28;15;2
59;28;15;2
60;27;15;3
61;24;18;3
62;25;18;2
63;24;19;2
64;24;19;2
65;23;20;2
66;20;23;2
67;18;25;2
68;19;25;1
69;18;26;1
70;17;26;2
71;16;27;2
72;16;27;2
73;14;29;2
74;14;29;2
75;10;33;2
76;8;35;2
77;6;37;2
78;6;37;2
79;5;38;2
80;4;39;2
81;4;39;2
82;3;39;3
83;2;40;3
84;2;40;3
85;1;41;3
86;0;41;4
87;0;41;4
88;0;41;4
89;0;41;4
90;0;41;4
91;0;41;4
92;0;40;5
93;0;38;7
94;0;38;7
95;0;38;7
96;0;38;7
97;0;38;7
98;0;36;9
99;0;32;13
100;0;31;14
101;0;31;14
102;0;30;15
103;0;28;17
104;0;28;17
105;0;28;17
106;0;26;19
107;0;26;19
108;0;25;20
109;0;25;20
110;0;25;20
111;0;23;22
112;0;21;24
113;0;20;25
114;0;18;27
115;0;17;28
116;0;16;29
117;0;14;31
118;0;14;31
119;0;12;33
120;0;12;33
121;0;12;33
122;0;10;35
123;0;9;36
124;0;8;37
125;0;7;38
126;0;7;38
127;0;6;39
128;0;6;39
129;0;6;39
130;0;3;42
131;0;3;42
132;0;2;43
