Time (sec);Rocks;Papers;Scissors
0;14;16;15
1;12;16;15
2;12;14;16
3;11;13;17
4;12;14;15
5;13;13;15
6;12;12;17
7;13;12;16
8;14;14;13
9;16;14;10
10;16;16;8
11;15;17;8
12;13;17;8
13;10;18;10
14;11;16;11
15;11;15;11
16;12;14;11
17;10;16;9
18;10;17;8
19;9;16;9
20;9;15;9
21;9;12;12
22;10;11;12
23;11;10;12
24;9;12;12
25;8;12;11
26;7;11;13
27;7;12;11
28;9;12;8
29;7;14;8
30;7;13;9
31;6;12;9
32;6;10;9
33;6;9;10
34;6;9;10
35;7;8;9
36;6;8;9
37;6;9;8
38;6;7;9
39;6;7;9
40;6;7;9
41;6;7;9
42;5;7;9
43;5;6;9
44;5;5;9
45;5;5;9
46;4;4;9
47;3;4;10
48;2;3;10
49;3;3;9
50;3;3;9
51;3;3;9
52;3;3;9
53;2;4;9
54;2;4;9
55;2;3;10
56;3;2;10
57;3;2;10
58;3;2;10
59;3;2;10
60;3;1;10
61;3;1;10
62;3;1;10
63;3;1;10
64;3;1;10
65;3;1;10
66;3;1;10
67;3;1;10
68;3;1;10
69;4;1;9
70;4;1;9
71;3;1;9
72;3;1;9
73;3;1;9
74;3;1;9
75;3;1;9
76;3;1;9
77;3;1;9
78;3;0;8
79;3;0;8
80;3;0;8
81;3;0;8
82;3;0;8
83;3;0;8
84;3;0;8
85;3;0;8
86;2;0;8
87;2;0;8
88;3;0;7
89;4;0;6
90;4;0;6
91;3;0;6
92;3;0;6
93;2;0;6
94;2;0;6
95;2;0;6
96;2;0;6
97;2;0;6
98;2;0;6
99;2;0;6
100;2;0;6
101;2;0;6
102;1;0;6
103;1;0;6
104;1;0;6
105;1;0;6
106;1;0;6
107;1;0;6
108;1;0;6
109;1;0;6
110;1;0;5
111;1;0;5
112;1;0;5
113;1;0;5
114;1;0;5
115;1;0;5
116;1;0;5
